plugin,plugin_instances
compositepost/CompositePost.php,512
math-comment-spam-protection/math-comment-spam-protection.php,5691
resize-on-upload/resize-on-upload.php,6224
scissors-continued/scissors.php,5810
tinymce-advanced/tinymce-advanced.php,6470
vipers-video-quicktags/vipers-video-quicktags.php,6065
calendar/calendar.php,191
classic-editor/classic-editor.php,977
shadowbox-js/shadowbox-js.php,31
addthis/addthis_social_widget.php,57
embed-any-document/awsm-embed.php,426
simple-ldap-login/Simple-LDAP-Login.php,9
social-media-widget/social-widget.php,64
wordpress-importer/wordpress-importer.php,39
wp-glossary/wp-glossary.php,3
easy-table/easy-table.php,14
page-links-to/page-links-to.php,132
social/social.php,55
twitter-tools/twitter-tools.php,69
wp-carouselslideshow/carousel.php,33
all-in-one-video-pack/interactive_video.php,63
chimpexpress/chimpexpress.php,4
subpages-extended/subpages-widget.php,457
tweet-blender/tweet-blender.php,300
twitter-hash-tag-widget/twitter-hash-tag-widget.php,192
jquery-vertical-accordion-menu/dcwp_jquery_accordion.php,333
subscribe2/subscribe2.php,45
subscribe-by-email/subscribe-by-email.php,20
flexi-pages-widget/flexi-pages-widget.php,312
jquery-categories-list/jquery-categories-list.php,341
password-protected/password-protected.php,299
ssl-insecure-content-fixer/ssl-insecure-content-fixer.php,145
unfiltered-mu/unfiltered-mu.php,559
all-in-one-video-pack/all_in_one_video_pack_widget.php,117
facebook-like-button-for-wordpress/fblinkbutton.php,40
nextgen-gallery/nggallery.php,182
google-analytics-for-wordpress/googleanalytics.php,15
members/members.php,2
wp-auctions/wp_auctions.php,3
wpgform/index.php,17
get-the-image/get-the-image.php,32
recently-popular/recently-popular.php,31
wp-mail-smtp/wp_mail_smtp.php,36
google-document-embedder/gviewer.php,116
404-redirection/index.php,24
aesop-story-engine/aesop-core.php,1
broken-link-checker/broken-link-checker.php,54
column-shortcodes/column-shortcodes.php,6
page-showcaser-boxes/page_showcaser_boxes.php,1
widgets-on-pages/widgets_on_pages.php,47
digressit/digressit.php,8
akismet/akismet.php,8
wptouch/wptouch.php,25
wickett-twitter-widget/wickett-twitter-widget.php,16
contact-form-7/wp-contact-form-7.php,201
all-in-one-seo-pack/all_in_one_seo_pack.php,24
easy-fancybox/easy-fancybox.php,5
gravityforms/gravityforms.php,9
mailchimp-for-wp/mailchimp-for-wp.php,2
revslider/revslider.php,8
all-in-one-video-pack/all_in_one_video_pack.php,17
grand-media/grand-media.php,6
jquery-mega-menu/dcwp_jquery_mega_menu.php,22
my-page-order/mypageorder.php,82
searchterms-tagging-2/searchterms-tagging2.php,1
seo-slugs/seo-slugs.php,5
widget-entries/widget-entries.php,2
google-analyticator/google-analyticator.php,13
instagram-feed/instagram-feed.php,3
the-events-calendar/the-events-calendar.php,5
health-check/health-check.php,1
jetpack/jetpack.php,3
vipers-video-quicktags-migrator/vipers-video-quicktags-migrator.php,2
pagelines-sections/pagelines-sections.php,3
ajax-calendar/ajax-calendar.php,13
dw-twitter/dw-twitter.php,5
events-manager/events-manager.php,10
facebook-fan-box/facebook-fan-box.php,16
wp-fullcalendar/wp-fullcalendar.php,7
co-authors-plus/co-authors-plus.php,6
embedplus-for-wordpress/embedplus.php,17
simple-instagram-embed/simple-instagram-embed.php,6
custom-headers-and-footers/custom-headers-and-footers.php,25
custom-sidebars/customsidebars.php,63
wp-display-header/wp-display-header.php,4
rss-in-page/RSSinpage.php,10
slickr-flickr/slickr-flickr.php,19
wordtube/wordtube.php,10
awesome-flickr-gallery-plugin/index.php,7
daikos-youtube-widget/daikosyoutubewidget.php,27
youtube-sidebar-widget/youtube-sidebar-widget.php,41
wpaudio-mp3-player/wpaudio.php,9
simple-custom-css/simple-custom-css.php,6
siteorigin-panels/siteorigin-panels.php,3
so-widgets-bundle/so-widgets-bundle.php,1
si-contact-form/si-contact-form.php,40
add-local-avatar/avatars.php,3
classic-widgets/classic-widgets.php,2
custom-google-search/custom-google-search.php,3
wp-statistics/wp-statistics.php,1
newstatpress/newstatpress.php,28
allow-html-in-category-descriptions/html-in-category-descriptions.php,19
collapsing-links/collapsLink.php,22
exclude-pages/exclude_pages.php,22
flv-player/flvplayer.php,20
google-maps-embed/cets_EmbedGmaps.php,14
oqey-headers/oqey_headers.php,4
smart-youtube/smartyoutube.php,39
smooth-streaming-player/sl-playerss.php,25
wp-image-news-slider/image-news-slider.php,15
wp-showhide/wp-showhide.php,15
wptouch-pro/wptouch-pro.php,17
zanmantou/Zanmantou.php,27
iframe/iframe.php,32
wordtwit/wordtwit.php,13
edit-flow/edit_flow.php,1
netblog/netblog.php,5
imagefocuspoint/imageFocusPoint.php,2
comment-extra-field/comment-extra-fields.php,24
urlfilter.php,18
vertical-scroll-recent-comments/vertical-scroll-recent-comments.php,23
advanced-custom-fields/acf.php,4
list-category-posts/list-category-posts.php,3
td-composer/td-composer.php,1
td-social-counter/td-social-counter.php,1
td-speed-booster/td-speed-booster.php,1
feedburner_feedsmith_plugin_2.3/FeedBurner_FeedSmith_Plugin.php,4
custom-facebook-feed/custom-facebook-feed.php,2
wp-captcha-free/captcha-free.php,16
gravityformsauthorizenet/authorizenet.php,1
sexybookmarks/shareaholic.php,3
simply-exclude/simplyexclude.php,1
storify/storify.php,4
countdown-clock/countdown-clock.php,11
gravityformspolls/polls.php,2
playbuzz/index.php,1
slidedeck2-developer/slidedeck2-tier30.php,2
slidedeck2-personal/slidedeck2.php,3
slidedeck2-professional/slidedeck2-tier20.php,1
slidedeck2/slidedeck2-lite.php,2
wp-postratings/wp-postratings.php,1
regenerate-thumbnails/regenerate-thumbnails.php,6
facebook-awd/AWD_facebook.php,36
all-in-one-video-pack/all-in-one-video-pack.php,4
artbees-captcha/captcha.php,2
countdown-timer/fergcorp_countdownTimer.php,5
fixed-social-buttons/fixed-social.php,14
jquery-t-countdown-widget/countdown-timer.php,1
wp-weather/wp-weather.php,8
bbpress/bbpress.php,2
image-upload-for-bbpress/bbp-image-upload.php,3
wp-user-avatar/wp-user-avatar.php,2
options-framework/options-framework.php,3
post-thumbnail-editor/post-thumbnail-editor.php,2
simple-custom-post-type-archives/simple-custom-post-type-archives.php,1
public-post-preview/public-post-preview.php,2
simple-facebook-comments/simple-facebook-comments.php,4
formstack/Plugin.php,3
lightbox-plus/lightboxplus.php,2
enhanced-media-library/enhanced-media-library.php,3
posts-per-cat/wp-postspercat.php,4
js_composer_theme/js_composer.php,2
envira-albums/envira-albums.php,2
envira-dynamic/envira-dynamic.php,1
envira-gallery/envira-gallery.php,5
envira-supersize/envira-supersize.php,1
envira-zip-importer/envira-zip-importer.php,1
sociable/sociable.php,4
wordpress-faq-manager/faq-manager.php,2
wp-document-revisions/wp-document-revisions.php,3
envato-wordpress-toolkit-master/index.php,2
disable-wordpress-core-update/disable-core-update.php,1
wp-pagenavi/wp-pagenavi.php,4
password-protect-wordpress/plugin.php,7
folders/folders.php,1
wordpress-flickr-manager/FlickrManager.php,3
wp-auctions-uploader/auctions-uploader.php,2
